"","X","Country","HDI.Rank","HDI","CPI","Region"
"1",1,"Afghanistan",172,0.398,9,"Asia Pacific"
"2",2,"Albania",70,0.739,7.4,"East EU Cemt Asia"
"3",3,"Algeria",96,0.698,7.6,"MENA"
"4",4,"Angola",148,0.486,8.5,"SSA"
"5",5,"Argentina",45,0.797,7.5,"Americas"
"6",6,"Armenia",86,0.716,7.9,"East EU Cemt Asia"
"7",7,"Australia",2,0.929,1.7,"Asia Pacific"
"8",8,"Austria",19,0.885,2.7,"EU W. Europe"
"9",9,"Azerbaijan",91,0.7,8.1,"East EU Cemt Asia"
"10",10,"Bahamas",53,0.771,3.2,"Americas"
"11",11,"Bahrain",42,0.806,5.4,"MENA"
"12",12,"Bangladesh",146,0.5,7.8,"Asia Pacific"
"13",13,"Barbados",47,0.793,2.7,"Americas"
"14",14,"Belarus",65,0.756,8.1,"East EU Cemt Asia"
"15",15,"Belgium",18,0.886,3,"EU W. Europe"
"16",16,"Benin",167,0.427,7.5,"SSA"
"17",17,"Bhutan",141,0.522,4.8,"Asia Pacific"
"18",18,"Bolivia",108,0.663,7.7,"Americas"
"19",19,"Bosnia and Herzegovina",74,0.733,7.3,"East EU Cemt Asia"
"20",20,"Botswana",118,0.633,4.4,"SSA"
"21",21,"Brazil",84,0.718,6.7,"Americas"
"22",22,"Britain",28,0.863,2.7,"EU W. Europe"
"23",23,"Bulgaria",55,0.771,7.2,"EU W. Europe"
"24",24,"Burkina Faso",181,0.331,7.5,"SSA"
"25",25,"Burundi",185,0.316,8.6,"SSA"
"26",26,"Cambodia",139,0.523,8.4,"Asia Pacific"
"27",27,"Cameroon",150,0.482,8,"SSA"
"28",28,"Canada",6,0.908,1.8,"Americas"
"29",29,"Cape Verde",133,0.568,5,"SSA"
"30",30,"Central African Republic",179,0.343,8.3,"SSA"
"31",31,"Chad",183,0.328,8.5,"SSA"
"32",32,"Chile",44,0.805,3.3,"Americas"
"33",33,"China",101,0.687,6.9,"Asia Pacific"
"34",34,"Colombia",87,0.71,7.1,"Americas"
"35",35,"Comoros",163,0.433,8.1,"SSA"
"36",36,"Congo",187,0.286,8.5,"SSA"
"37",37,"Congo  Republic",137,0.533,8.3,"SSA"
"38",38,"Costa Rica",69,0.744,5.7,"Americas"
"39",39,"C̫te d'Ivoire",170,0.4,8.3,"SSA"
"40",40,"Croatia",46,0.796,6.5,"East EU Cemt Asia"
"41",41,"Cuba",51,0.776,6.3,"Americas"
"42",42,"Cyprus",31,0.84,4.2,"EU W. Europe"
"43",43,"Czech Republic",27,0.865,6.1,"EU W. Europe"
"44",44,"Denmark",16,0.895,1.1,"EU W. Europe"
"45",45,"Djibouti",165,0.43,7.5,"SSA"
"46",46,"Dominica",81,0.724,5.3,"Americas"
"47",47,"Dominican Republic",98,0.689,7.9,"Americas"
"48",48,"Ecuador",83,0.72,7.8,"Americas"
"49",49,"Egypt",113,0.644,7.6,"MENA"
"50",50,"El Salvador",105,0.674,7.1,"Americas"
"51",51,"Equatorial Guinea",136,0.537,8.6,"SSA"
"52",52,"Eritrea",177,0.349,8,"SSA"
"53",53,"Estonia",34,0.835,4.1,"EU W. Europe"
"54",54,"Ethiopia",174,0.363,7.8,"SSA"
"55",55,"Finland",22,0.882,1.1,"EU W. Europe"
"56",56,"France",20,0.884,3.5,"EU W. Europe"
"57",57,"Gabon",106,0.674,7.5,"SSA"
"58",58,"Gambia",168,0.42,7,"SSA"
"59",59,"Georgia",75,0.733,6.4,"East EU Cemt Asia"
"60",60,"Germany",9,0.905,2.5,"EU W. Europe"
"61",61,"Ghana",135,0.541,6.6,"SSA"
"62",62,"Greece",29,0.861,7.1,"EU W. Europe"
"63",63,"Guatemala",131,0.574,7.8,"Americas"
"64",64,"Guinea",178,0.344,8.4,"SSA"
"65",65,"Guinea-Bissau",176,0.353,8.3,"SSA"
"66",66,"Guyana",117,0.633,8,"Americas"
"67",67,"Haiti",158,0.454,8.7,"Americas"
"68",68,"Honduras",121,0.625,7.9,"Americas"
"69",69,"Hong Kong",13,0.898,2.1,"Asia Pacific"
"70",70,"Hungary",38,0.816,5.9,"EU W. Europe"
"71",71,"Iceland",14,0.898,2.2,"EU W. Europe"
"72",72,"India",134,0.547,7.4,"Asia Pacific"
"73",73,"Indonesia",124,0.617,7.5,"Asia Pacific"
"74",74,"Iran",88,0.707,7.8,"MENA"
"75",75,"Iraq",132,0.573,8.7,"MENA"
"76",76,"Ireland",7,0.908,3,"EU W. Europe"
"77",77,"Israel",17,0.888,4.7,"MENA"
"78",78,"Italy",24,0.874,6.6,"EU W. Europe"
"79",79,"Jamaica",79,0.727,7.2,"Americas"
"80",80,"Japan",12,0.901,2.5,"Asia Pacific"
"81",81,"Jordan",95,0.698,6,"MENA"
"82",82,"Kazakhstan",68,0.745,7.8,"East EU Cemt Asia"
"83",83,"Kenya",143,0.509,8.3,"SSA"
"84",84,"Kiribati",122,0.624,7.4,"Asia Pacific"
"85",85,"Korea (South)",15,0.897,5.1,"Asia Pacific"
"86",86,"Kuwait",63,0.76,5.9,"MENA"
"87",87,"Kyrgyzstan",126,0.615,8.4,"East EU Cemt Asia"
"88",88,"Laos",138,0.524,8.3,"Asia Pacific"
"89",89,"Latvia",43,0.805,6.3,"EU W. Europe"
"90",90,"Lebanon",71,0.739,8,"MENA"
"91",91,"Lesotho",160,0.45,7,"SSA"
"92",92,"Liberia",182,0.329,7.3,"SSA"
"93",93,"Libya",64,0.76,8.5,"MENA"
"94",94,"Lithuania",40,0.81,5.7,"EU W. Europe"
"95",95,"Luxembourg",25,0.867,2,"EU W. Europe"
"96",96,"Madagascar",151,0.48,7.5,"SSA"
"97",97,"Malawi",171,0.4,7.5,"SSA"
"98",98,"Malaysia",61,0.761,6.2,"Asia Pacific"
"99",99,"Maldives",109,0.661,8,"Asia Pacific"
"100",100,"Mali",175,0.359,7.7,"SSA"
"101",101,"Malta",36,0.832,4.9,"EU W. Europe"
"102",102,"Mauritania",159,0.453,8.1,"SSA"
"103",103,"Mauritius",77,0.728,5.4,"SSA"
"104",104,"Mexico",57,0.77,7.5,"Americas"
"105",105,"Moldova",111,0.649,7.6,"East EU Cemt Asia"
"106",106,"Mongolia",110,0.653,7.8,"Asia Pacific"
"107",107,"Montenegro",54,0.771,6.5,"East EU Cemt Asia"
"108",108,"Morocco",130,0.582,7.1,"MENA"
"109",109,"Mozambique",184,0.322,7.8,"SSA"
"110",110,"Myanmar",149,0.483,9,"Asia Pacific"
"111",111,"Namibia",120,0.625,6.1,"SSA"
"112",112,"Nepal",157,0.458,8.3,"Asia Pacific"
"113",113,"Netherlands",3,0.91,1.6,"EU W. Europe"
"114",114,"New Zealand",5,0.908,1,"Asia Pacific"
"115",115,"Nicaragua",129,0.589,8,"Americas"
"116",116,"Niger",186,0.295,8,"SSA"
"117",117,"Nigeria",156,0.459,8.1,"SSA"
"118",118,"Norway",1,0.943,1.5,"EU W. Europe"
"119",119,"Oman",89,0.705,5.7,"MENA"
"120",120,"Pakistan",145,0.504,8,"Asia Pacific"
"121",121,"Panama",58,0.768,7.2,"Americas"
"122",122,"Papua New Guinea",153,0.466,8.3,"Asia Pacific"
"123",123,"Paraguay",107,0.665,8.3,"Americas"
"124",124,"Peru",80,0.725,7.1,"Americas"
"125",125,"Philippines",112,0.644,7.9,"Asia Pacific"
"126",126,"Poland",39,0.813,5,"EU W. Europe"
"127",127,"Portugal",41,0.809,4.4,"EU W. Europe"
"128",128,"Qatar",37,0.831,3.3,"MENA"
"129",129,"Romania",50,0.781,6.9,"EU W. Europe"
"130",130,"Russia",66,0.755,8.1,"East EU Cemt Asia"
"131",131,"Rwanda",166,0.429,5.5,"SSA"
"132",132,"Saint Lucia",82,0.723,3.5,"Americas"
"133",133,"Saint Vincent and the Grenadines",85,0.717,4.7,"Americas"
"134",134,"Samoa",99,0.688,6.6,"Asia Pacific"
"135",135,"Saudi Arabia",56,0.77,6.1,"MENA"
"136",136,"Senegal",155,0.459,7.6,"SSA"
"137",137,"Serbia",59,0.766,7.2,"East EU Cemt Asia"
"138",138,"Seychelles",52,0.773,5.7,"SSA"
"139",139,"Sierra Leone",180,0.336,8,"SSA"
"140",140,"Singapore",26,0.866,1.3,"Asia Pacific"
"141",141,"Slovakia",35,0.834,6.5,"EU W. Europe"
"142",142,"Slovenia",21,0.884,4.6,"EU W. Europe"
"143",143,"Solomon Islands",142,0.51,7.8,"Asia Pacific"
"144",144,"South Africa",123,0.619,6.4,"SSA"
"145",145,"Spain",23,0.878,4.3,"EU W. Europe"
"146",146,"Sri Lanka",97,0.691,7.2,"Asia Pacific"
"147",147,"Sudan",169,0.408,8.9,"SSA"
"148",148,"Suriname",104,0.68,7.5,"Americas"
"149",149,"Swaziland",140,0.522,7.4,"SSA"
"150",150,"Sweden",10,0.904,1.2,"EU W. Europe"
"151",151,"Switzerland",11,0.903,1.7,"EU W. Europe"
"152",152,"Syria",119,0.632,7.9,"MENA"
"153",153,"Tajikistan",127,0.607,8.2,"East EU Cemt Asia"
"154",154,"Tanzania",152,0.466,7.5,"SSA"
"155",155,"Thailand",103,0.682,7.1,"Asia Pacific"
"156",156,"Timor-Leste",147,0.495,8.1,"Asia Pacific"
"157",157,"Togo",162,0.435,8.1,"SSA"
"158",158,"Tonga",90,0.704,7.4,"Asia Pacific"
"159",159,"Trinidad and Tobago",62,0.76,7.3,"Americas"
"160",160,"Tunisia",94,0.698,6.7,"MENA"
"161",161,"Turkey",92,0.699,6.3,"East EU Cemt Asia"
"162",162,"Turkmenistan",102,0.686,8.9,"East EU Cemt Asia"
"163",163,"Uganda",161,0.446,8.1,"SSA"
"164",164,"Ukraine",76,0.729,8.2,"East EU Cemt Asia"
"165",165,"United Arab Emirates",30,0.846,3.7,"MENA"
"166",166,"United States",4,0.91,3.4,"Americas"
"167",167,"Uruguay",48,0.783,3.5,"Americas"
"168",168,"Uzbekistan",115,0.641,8.9,"East EU Cemt Asia"
"169",169,"Vanuatu",125,0.617,7,"Asia Pacific"
"170",170,"Venezuela",73,0.735,8.6,"Americas"
"171",171,"Yemen",154,0.462,8.4,"MENA"
"172",172,"Zambia",164,0.43,7.3,"SSA"
"173",173,"Zimbabwe",173,0.376,8.3,"SSA"
